fiscal_year,quarter,organization_id,organization_name,service_provider_id,service_provider_name,service_provider_desc,service_id,service_name,service_provided,transaction_point,channel,rating,reflection,population_size,volume_of_customers_provided_survey_opportunity,volume_of_respondents,sample_size,question_id,question_text,strongly_disagree_num,disagree_num,neutral_num,agree_num,strongly_agree_num,strongly_agree_or_agree_num,point_scale,metric_category
2021,2,2129,Department of Veterans Affairs,21,Veterans Health Administration,"The Veterans Health Administration (VHA) is the largest integrated health care system in the United States, providing care at 1,293 health care facilities, including 171 VA Medical Centers and 1,112 outpatient sites of care of varying complexity to over 9 million Veterans enrolled in the VA health care program.",2,Receiving outpatient services,Outpatient Services,Follow-up Survey upon receiving Outpatient Services,email,TRUE,"The insights collected digitally enabled veterans to submit feedback about their outpatient services. As soon as Veterans pressed submit digitally, the insights were available in Veterans Signals (VSignals), VA's CX deployment/collection/analysis software capability, within seconds. Veterans Health Administration used those insights to action plan for immediate to short-term service recovery and also for long-term program and systems improvements.",9707552,1774363,320979,320979,2,I trust VA to fulfill our country’s commitment to Veterans,3798,5267,22026,80315,209573,289888,4.52,trust
2021,2,2111,Department of Education,15,Federal Student Aid,"Federal Student Aid (FSA) seeks to ensure that all eligible individuals can benefit from Federal financial assistance for education beyond high school. FSA provides more than $120 billion in grants, work-study, and loan funds each year to help pay for college or career school. FSA processes approximately 20 million FAFSA submissions annually.",22,Applying for Financial Aid,FAFSA.gov,at FAFSA submission,computer,TRUE,"For the FAFSA.gov customer satisfaction survey, respondents provided lower scores across all seven metrics when comparing the Fiscal Year (FY) 2021 1st quarter to the FY 2021 2nd quarter. There were some flow errors that emerged in February 2021, that were patched in March 2021, so scores did rebound by the end of the quarter, but the error occurred around some of the largest state filing deadlines (for state aid around March 2, 2021), which amplified the issue. For the myStudentAid App (mobile FAFSA), a similar story, there were some flow errors that emerged in February 2021, that were patched in March 2021, so scores did rebound, but the error occurred around some of the largest state filing deadlines (for state aid around March 2, 2021), which amplified the issue.",46000000,267000,3000,3000,2,"Using a scale of 1 to 10 where “1” means “not at all likely” and “10” means “very likely”, how likely would you be to use the Web site to apply for federal student aid in the future?   (FAFSA.gov)",88,47,205,418,2242,2660,4.56,trust
2021,2,2111,Department of Education,15,Federal Student Aid,"Federal Student Aid (FSA) seeks to ensure that all eligible individuals can benefit from Federal financial assistance for education beyond high school. FSA provides more than $120 billion in grants, work-study, and loan funds each year to help pay for college or career school. FSA processes approximately 20 million FAFSA submissions annually.",22,Applying for Financial Aid,myStudentAid app,At FAFSA submission,mobile,TRUE,"For the FAFSA.gov customer satisfaction survey, respondents provided lower scores across all seven metrics when comparing the Fiscal Year (FY) 2021 1st quarter to the FY 2021 2nd quarter. There were some flow errors that emerged in February 2021, that were patched in March 2021, so scores did rebound by the end of the quarter, but the error occurred around some of the largest state filing deadlines (for state aid around March 2, 2021), which amplified the issue. For the myStudentAid App (mobile FAFSA), a similar story, there were some flow errors that emerged in February 2021, that were patched in March 2021, so scores did rebound, but the error occurred around some of the largest state filing deadlines (for state aid around March 2, 2021), which amplified the issue.",166000,166000,1100,1100,2,"Using a scale of 1 to 10 where “1” means “not at all likely” and “10” means “very likely”, how likely would you be to use the myStudentAid App to apply for federal student aid in the future?  (myStudentAid App mobile FAFSA)",47,37,83,123,810,933,4.47,trust
2021,2,2106,Office of Personnel Management,13,Retirement Services,"Provides benefits for more than 2.7 million annuitants, survivors, and family members.",18,Applying for retirement benefits,Services Online (SOL),Following logon to site,computer,TRUE,"For Retirement Services: Overall, Q2 percent positive results were consistent with Q1, or declined by one to three percentage points. The overall drop in customer satisfaction is largely due to a series of technical issues with the call center. Customers experienced difficulty accessing representatives to assist and/or respond to inquiries timely. OPM Retirement Services also learned of a number of backlog cases from the NFC that was not received timely. During the quarter, both events contributed to our inability to meet customer expectations. Retirement Services (Services Online): Overall, Services Online visitors continue to remain satisfied with the web site experience year over year. In addition, Q2 represents a 64 percent increase in survey submissions over Q1 due to availability of tax information (1099R) on the site in January. The percent positive responses for the seven Government-wide questions remained consistent with Q1, and over the past five quarters generally do not change more than two percentage points. The percent positive for Q1 and Q2 are as follows: 1. Satisfaction: 89 (Q1) to 88 percent (Q2) 2. Confidence: 84 to 83 percent 3. Need was addressed: 88 to 87 percent 4. Reasonable amount of time: 83 percent (no change from Q1) 5. Access on device: 92 percent (no change from Q1) 6. Website was helpful: 88 to 86 percent Likelihood to return to the site (95) and recommend the site (89) remain high quarter over quarter. ",1493089,1175824,40868,40787,2,This interaction increased my confidence in Services Online.,1238,1090,4539,8991,24929,33920,4.36,trust
2021,2,2106,Office of Personnel Management,13,Retirement Services,"Provides benefits for more than 2.7 million annuitants, survivors, and family members.",18,Applying for retirement benefits,"Retirement claims processing and customer service transactions (Services Online, phone, email) ",Email survey to customers who had specific customer service transactions each quarter.,computer,TRUE,"For Retirement Services: Overall, Q2 percent positive results were consistent with Q1, or declined by one to three percentage points. The overall drop in customer satisfaction is largely due to a series of technical issues with the call center. Customers experienced difficulty accessing representatives to assist and/or respond to inquiries timely. OPM Retirement Services also learned of a number of backlog cases from the NFC that was not received timely. During the quarter, both events contributed to our inability to meet customer expectations. Retirement Services (Services Online): Overall, Services Online visitors continue to remain satisfied with the web site experience year over year. In addition, Q2 represents a 64 percent increase in survey submissions over Q1 due to availability of tax information (1099R) on the site in January. The percent positive responses for the seven Government-wide questions remained consistent with Q1, and over the past five quarters generally do not change more than two percentage points. The percent positive for Q1 and Q2 are as follows: 1. Satisfaction: 89 (Q1) to 88 percent (Q2) 2. Confidence: 84 to 83 percent 3. Need was addressed: 88 to 87 percent 4. Reasonable amount of time: 83 percent (no change from Q1) 5. Access on device: 92 percent (no change from Q1) 6. Website was helpful: 88 to 86 percent Likelihood to return to the site (95) and recommend the site (89) remain high quarter over quarter. ",,90080,13002,13015,2,This interaction increased my confidence in Services Online OPM Retirement Services.,910,962,2223,4343,4577,8920,3.82,trust
2021,2,2106,Office of Personnel Management,12,Federal Employment Services,"Every day, USAJobs hosts over 900 jobs and manages 6 million profiles. The platform has over 200 million site visits a year.",17,Applying to Federal job opportunities,USAJOBS Job Seeker Portal,Visit three or more screens on the website,computer,TRUE,"USAJOBS Desktop (Summary FY 2021 Q2) When comparing the scores to Q1 2021 specifically, the only loss was a 1 percentage point drop in the satisfaction question (69 to 68 percent). The Confidence, Efficiency, and Employee questions had no change (61, 62, and 66 percent). The Ease, Transparency, and Effectiveness questions increased by 1, 2, and 3 percentage points respectively (63 to 64, 76 to 78, and 61 to 64 percent). Comparing the scores to the same quarter of the previous year (Q2 of 2020), both the Confidence and Employee questions dropped by 1 percentage point (62 to 61, and 67 to 66 percent). The Satisfaction, Ease, and Efficiency questions had no change (68, 64, and 62 percent). The Effectiveness and Transparency questions rose by 2 and 3 percentage points respectively (62 to 64 and 75 to 78 percent). Of the seven questions, the Confidence, Effectiveness, and Efficiency questions generally score the lowest. This may indicate that the time it takes to complete tasks and User's ability to complete said tasks may negatively effect their confidence in the site. The Transparency question consistently scores the highest for both the desktop and mobile surveys, which suggests that there are few issues accessing the site from various devices. USAJOBS Mobile (Summary FY 2021 Q2) Comparing the scores to Q1 of 2021, the Ease question had the largest drop of 3 percentage points (77 to 74 percent). The Satisfaction, Efficiency, Transparency, and Employee questions all had a 2 percentage point decrease (81 to 79, 74 to 72, 87 to 85, and 79 to 77 percent). There was no change in the Confidence question score (75 percent), and an increase of 1 percentage point in the Effectiveness question score (75 to 76 percent). Comparing the scores to the same quarter of the previous year (Q2 of 2020), both the Ease and Employee questions dropped by 3 percentage points (77 to 74 and 80 to 77 percent). The Satisfaction question score dropped by 2 percentage points (81 to 79 percent), and the Confidence ad Efficiency questions both dropped by 1 percentage point (76 to 75 and 73 to 72 percent). There was no change in the Effectiveness and Transparency question scores (76 and 85 percent). The Efficiency question consistently scores the lowest in this survey. This suggests the amount of time to complete tasks may be an area of potential improvement for the site as a whole. Like the desktop survey, the Transparency question consistently scores highest for this survey.",13854596,2084,789,781,2,This interaction increased my confidence in USA JOBS.,71,63,166,189,292,481,3.73,trust
2021,2,2106,Office of Personnel Management,12,Federal Employment Services,"Every day, USAJobs hosts over 900 jobs and manages 6 million profiles. The platform has over 200 million site visits a year.",17,Applying to Federal job opportunities,USAJOBS Job Seeker Portal (mobile),Visit three or more screens on the website,mobile,TRUE,"USAJOBS Desktop (Summary FY 2021 Q2) When comparing the scores to Q1 2021 specifically, the only loss was a 1 percentage point drop in the satisfaction question (69 to 68 percent). The Confidence, Efficiency, and Employee questions had no change (61, 62, and 66 percent). The Ease, Transparency, and Effectiveness questions increased by 1, 2, and 3 percentage points respectively (63 to 64, 76 to 78, and 61 to 64 percent). Comparing the scores to the same quarter of the previous year (Q2 of 2020), both the Confidence and Employee questions dropped by 1 percentage point (62 to 61, and 67 to 66 percent). The Satisfaction, Ease, and Efficiency questions had no change (68, 64, and 62 percent). The Effectiveness and Transparency questions rose by 2 and 3 percentage points respectively (62 to 64 and 75 to 78 percent). Of the seven questions, the Confidence, Effectiveness, and Efficiency questions generally score the lowest. This may indicate that the time it takes to complete tasks and User's ability to complete said tasks may negatively effect their confidence in the site. The Transparency question consistently scores the highest for both the desktop and mobile surveys, which suggests that there are few issues accessing the site from various devices. USAJOBS Mobile (Summary FY 2021 Q2) Comparing the scores to Q1 of 2021, the Ease question had the largest drop of 3 percentage points (77 to 74 percent). The Satisfaction, Efficiency, Transparency, and Employee questions all had a 2 percentage point decrease (81 to 79, 74 to 72, 87 to 85, and 79 to 77 percent). There was no change in the Confidence question score (75 percent), and an increase of 1 percentage point in the Effectiveness question score (75 to 76 percent). Comparing the scores to the same quarter of the previous year (Q2 of 2020), both the Ease and Employee questions dropped by 3 percentage points (77 to 74 and 80 to 77 percent). The Satisfaction question score dropped by 2 percentage points (81 to 79 percent), and the Confidence ad Efficiency questions both dropped by 1 percentage point (76 to 75 and 73 to 72 percent). There was no change in the Effectiveness and Transparency question scores (76 and 85 percent). The Efficiency question consistently scores the lowest in this survey. This suggests the amount of time to complete tasks may be an area of potential improvement for the site as a whole. Like the desktop survey, the Transparency question consistently scores highest for this survey.",10942332,10451,5975,5975,2,This interaction increased my confidence in USA JOBS.,299,299,896,1434,3047,4481,4.11,trust
2021,2,2098,Department of Agriculture,5,Recreation.gov,"Recreation.gov provides a gateway to discover our nation's hidden treasures and engage in timeless outdoor recreation and cultural activities. 21,000,000+ users, reserve experiences at over 4,200 facilities and 113,000 individual sites across the country.",7,Reserving a campsite on Recreation.gov,Recreation.gov,"5% of website users are presented with the survey after visiting 5 pages, and spending more than one minute on the site",computer,TRUE,"In the second quarter of FY2021 (January - March 2021) we noticed an increase in users from 6.6 to 8.7 million, sessions up from 10.9 to 16.1 million, and transactions rose from 962k to 1.3 million over the first quarter of FY2021. The Net Promoter Score (NPS) also improved by 5.4 points over the same time period in 2020. The NPS revealed that visitors who visit once a month were more satisfied than those who visit multiple times per week; which is indicative of those seeking reservations at high-demand locations with limited availability. In fact, lack of availability is the primary reason for visitor task failures for the past two quarters, according to the CSAT survey. The increased demand for recreation opportunities is decreasing the availability for reservable inventory on Recreation.gov, which is frustrating for visitors. The recommendation feature is a tool to help visitors find nearby locations that are available when the sites they originally selected are not. The team also focused on the needs of new users. With 2 million new users in FY2020, we looked at pain points for this specific user group. In response to feedback, we increased the consistency of terminology to reduce confusion, placed Help Center articles at key points in the workflow, and improved redirect flow after account creation. Usability testing is another way for our teams to see the customer experience through fresh eyes. Our team conducted 56 usability tests in Q2 across camping, permits, mobile app, timed entry and a few other features. Applying what we learned through persona-driven journey maps helps to highlight points of friction and frustration for our teams, and allows us to prioritize improvements, enhancements and updates accordingly.",8700000,381294,12701,12700,2,This interaction increased my confidence in Recreation.gov,2032,1524,2159,2921,4064,6985,3.43,trust
2021,2,2131,Social Security Administration,14,Social Security Administration,"The Social Security Administration (SSA) serves over 40 million retirees and their loved ones each year. For the 55 million spouses and dependents of retirees who have passed on, the Old-Age & Survivors Insurance (OASI) pays them over $944 billion in benefits a year. For the 10 million retirees who are disabled, the Disability Insurance program (DI) pays them about $145 billion. The Supplemental Security Income pays over $55 billion to nearly 8 million people who both are low-income and have a disability.",19,Accessing  Social Security services online,Online Services,ForeSee Survey,computer,TRUE,"For FY 2021 Q2, we are submitting the results of our ForeSee customer satisfaction score for our online services. After reviewing our Q2 results, we observe respondent feedback that is comparable to Q1 of FY 2021. Despite the service options adjustments we made beginning in mid-March 2020 due to the COVID-19 pandemic, we are happy to report continued positive respondent satisfaction scores for questions focused on ease, simplicity, and speed in Q2. Over 86% of survey respondents agree or strongly agree with the statement, ""I am satisfied with the service I received..."" Nearly 83% of respondents agree or strongly agree with the statement, ""My need was addressed."" Our overall Customer Satisfaction score remains above 80 - the ForeSee threshold of excellence. Planned CX Activities / Initiatives: Improving customer service and the customer's experience continues to be our Commissioner's priority. We are testing video appointments for customers who need a new Social Security card but do not need to change any of the information in our records. We tested drop box and express appointment options for the public to bring in documentation, and we will be expanding those initiatives. In an effort to raise awareness of our Social Security Disability and Supplemental Security Income Programs, we are working with our advocates and community-based organizations to launch a national campaign to encourage our most vulnerable populations to apply.",47431340,10502662,107528,107528,2,This interaction increased my confidence in the Social Security Administration,4050,2788,16984,28330,55376,83706,4.19,trust
2021,2,2129,Department of Veterans Affairs,22,Veterans Benefits Administration,"The Veterans Benefits Administration (VBA) serves over 5.5 million Veterans across 56 regional offices with personalized benefits and services related to education, life insurance, home loan guaranty, and employment. In 2020, VBA guaranteed 1.2 million home loans and provided Post-9/11 GI Bill payments to over 600,000 beneficiaries.",26,Contacting the Benefits Administration contact center,AMA Higher-Level Review,e-mail survey with online response collection,email,TRUE,Data Highlights: NCC - Efficiency increased by 10 percentage points over the past year; All domains are steadily increasing each quarter ECC - Employee helpfulness remains over 90% INS - All domains increased by 3 percentage points or more; Satisfaction increased by 9 percentage points EDU - Equity had a 22 percentage point correction from FY21 Q1 with applying for benefits OAR - Operational data still under review and validation,,3938,1148,1147,2,I trust VA to fulfill our country's commitment to Veterans.,233,146,254,288,226,514,3.11,trust
